Brand,Cigar Name,Factory Name,Ring Gauge,Length (mm),Length (inches),Vitola/Shape,Status,Release Year,Discontinued Year,Construction,Notes,cigar_name_norm,brand_norm,Description,Length mm,Length inches,Vitola,Assets,Package,Stock,Packaging
Rafael González,Perlas,Perlas,40.0,102.0,4,Petit Corona,Current,2012,,Handmade,Mild strength,perlas,rafael gonzález,,,,,,,,
Rafael González,Coronas de Lonsdales,Hermosos No.4,48.0,127.0,5,Corona Extra,Current,2021,,Handmade,Mild strength,coronas de lonsdales,rafael gonzález,,,,,,,,
Rafael González,Panetelas Extra,Vegueritos,37.0,127.0,5,Short Panetela,Current,Pre-1960,,"Handmade, short filler",Mild strength,panetelas extra,rafael gonzález,,,,,,,,
Rafael González,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Mild strength,petit coronas,rafael gonzález,,,,,,,,
Ramón Allones,Allones Specially Selected,Robustos,50.0,124.0,4⅞,Robusto,Current,1975,,Handmade,Full strength,allones specially selected,ramón allones,,,,,,,,
Ramón Allones,Gigantes,Prominentes,49.0,194.0,7⅝,Double Corona,Current,1978,,Handmade,Full strength,gigantes,ramón allones,,,,,,,,
Ramón Allones,Allones Superiores,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Current,2010,,Handmade,LCDH Exclusive,allones superiores,ramón allones,,,,,,,,
Ramón Allones,Allones No.3,Noblezas,52.0,138.0,5⅜,Robusto Extra,Current,2021,,Handmade,Full strength,allones no.3,ramón allones,,,,,,,,
Ramón Allones,Small Club Coronas,Minutos,42.0,110.0,4⅜,Petit Corona,Current,Pre-1960,,Handmade,Full strength,small club coronas,ramón allones,,,,,,,,
Rey del Rey,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,rey del rey,,,,,,,,
Romeo y Julieta,Short Churchills,Robustos,50.0,124.0,4⅞,Robusto,Current,2006,,Handmade,,short churchills,romeo y julieta,,,,,,,,
Romeo y Julieta,Wide Churchills,Montesco,55.0,130.0,5⅛,Robusto,Current,2010,,Handmade,,wide churchills,romeo y julieta,,,,,,,,
Romeo y Julieta,Petit Churchills,Petit Robustos,50.0,102.0,4,Petit Robusto,Current,2012,,Handmade,,petit churchills,romeo y julieta,,,,,,,,
Romeo y Julieta,Dianas,Damas,52.0,145.0,5¾,Robusto Extra,Current,2020,,Handmade,Línea de Oro,dianas,romeo y julieta,,,,,,,,
Romeo y Julieta,Hidalgos,Hidalgos,57.0,125.0,4⅞,Robusto,Current,2020,,Handmade,Línea de Oro,hidalgos,romeo y julieta,,,,,,,,
Romeo y Julieta,Nobles,Triangulares,56.0,135.0,5⅜,Pyramid,Current,2020,,Handmade,Línea de Oro,nobles,romeo y julieta,,,,,,,,
Romeo y Julieta,Churchills,Julieta No.2,47.0,178.0,7,Churchill,Current,Pre-1960,,Handmade,Tubes available,churchills,romeo y julieta,,,,,,,,
Romeo y Julieta,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,,petit coronas,romeo y julieta,,,,,,,,
Romeo y Julieta,Cedros de Luxe No.2,Coronas,42.0,142.0,5⅝,Corona,Current,Pre-1960,,Handmade,Cedar wrapped,cedros de luxe no.2,romeo y julieta,,,,,,,,
Romeo y Julieta,Cedros de Luxe No.3,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Cedar wrapped,cedros de luxe no.3,romeo y julieta,,,,,,,,
Romeo y Julieta,Mille Fleurs,Petit Coronas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,,mille fleurs,romeo y julieta,,,,,,,,
Romeo y Julieta,Petit Julietas,Entreactos,30.0,100.0,3⅞,Small Panetela,Current,Pre-1960,,Handmade,,petit julietas,romeo y julieta,,,,,,,,
Romeo y Julieta,Romeo No.1,Cremas,40.0,140.0,5½,Corona,Current,Pre-1960,,Handmade,Tubes available,romeo no.1,romeo y julieta,,,,,,,,
Romeo y Julieta,Romeo No.2,Petit Coronas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Tubes available,romeo no.2,romeo y julieta,,,,,,,,
Romeo y Julieta,Romeo No.3,Coronitas,40.0,117.0,4⅝,Petit Corona,Current,Pre-1960,,Handmade,Tubes available,romeo no.3,romeo y julieta,,,,,,,,
Saint Luis Rey,Carenas,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2015,,Handmade,Medium to full strength,carenas,saint luis rey,,,,,,,,
Saint Luis Rey,Regios,Robustos,50.0,124.0,4⅞,Robusto,Current,Pre-1960,,Handmade,Medium to full strength,regios,saint luis rey,,,,,,,,
Saint Luis Rey,Serie A,Cervantes,42.0,165.0,6½,Lonsdale,Current,Pre-1960,,Handmade,Medium to full strength,serie a,saint luis rey,,,,,,,,
Saint Luis Rey,Churchills,Julieta No.2,47.0,178.0,7,Churchill,Current,Pre-1960,,Handmade,Medium to full strength,churchills,saint luis rey,,,,,,,,
Saint Luis Rey,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Medium to full strength,petit coronas,saint luis rey,,,,,,,,
San Cristóbal de la Habana,El Príncipe,Minutos,42.0,110.0,4⅜,Petit Corona,Current,1999,,Handmade,Light to medium strength,el príncipe,san cristóbal de la habana,,,,,,,,
San Cristóbal de la Habana,La Fuerza,Gordito,50.0,141.0,5½,Robusto Extra,Current,1999,,Handmade,Light to medium strength,la fuerza,san cristóbal de la habana,,,,,,,,
San Cristóbal de la Habana,La Punta,Campanas,52.0,140.0,5½,Pyramid,Current,1999,,Handmade,Light to medium strength,la punta,san cristóbal de la habana,,,,,,,,
San Cristóbal de la Habana,Torreon,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2012,,Handmade,Habanos Specialist Exclusive,torreon,san cristóbal de la habana,,,,,,,,
San Cristóbal de la Habana,Prado,Petit Pirámides,50.0,127.0,5,Petit Pyramid,Current,2018,,Handmade,Habanos Specialist Exclusive,prado,san cristóbal de la habana,,,,,,,,
Sancho Panza,Belicosos,Campanas,52.0,140.0,5½,Pyramid,Current,Pre-1960,,Handmade,Full strength - ICT brand,belicosos,sancho panza,,,,,,,,
Sancho Panza,Coronas Gigantes,Julieta No.2,47.0,178.0,7,Churchill,Current,Pre-1960,,Handmade,Full strength,coronas gigantes,sancho panza,,,,,,,,
Sancho Panza,Non Plus,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Full strength,non plus,sancho panza,,,,,,,,
Sancho Panza,Sanchos,Robustos,50.0,124.0,4⅞,Robusto,Current,Pre-1960,,Handmade,Full strength,sanchos,sancho panza,,,,,,,,
Siboney,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,1940s,1980s,Handmade,Rare discontinued brand,coronas,siboney,,,,,,,,
Siboney,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,1940s,1980s,Handmade,Rare discontinued brand,petit coronas,siboney,,,,,,,,
Statos de Luxe,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,statos de luxe,,,,,,,,
Susini,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1980s,Handmade,,petit coronas,susini,,,,,,,,
Topper,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,topper,,,,,,,,
Trinidad,Reyes,Perlas,40.0,110.0,4⅜,Petit Corona,Current,1998,,Handmade,Premium strength,reyes,trinidad,,,,,,,,
Trinidad,Coloniales,Marevas,44.0,132.0,5¼,Corona,Current,2003,,Handmade,Premium strength,coloniales,trinidad,,,,,,,,
Trinidad,Robustos T,Edmundo,52.0,135.0,5⅜,Robusto,Current,2009,,Handmade,Premium strength,robustos t,trinidad,,,,,,,,
Trinidad,Vigía,Duke,54.0,110.0,4⅜,Petit Robusto,Current,2014,,Handmade,Premium strength,vigía,trinidad,,,,,,,,
Trinidad,Topes,Placeres,53.0,132.0,5¼,Robusto Extra,Current,2016,,Handmade,Premium strength,topes,trinidad,,,,,,,,
Trinidad,Media Luna,Media Luna,52.0,115.0,4½,Petit Robusto,Current,2019,,Handmade,Premium strength,media luna,trinidad,,,,,,,,
Trinidad,Casilda,Noblezas,52.0,138.0,5⅜,Robusto Extra,Current,2022,,Handmade,Premium strength,casilda,trinidad,,,,,,,,
Vegas Robaina,Famosos,Hermosos No.4,48.0,127.0,5,Corona Extra,Current,1997,,Handmade,Medium to full strength,famosos,vegas robaina,,,,,,,,
Vegas Robaina,Unicos,Piramides,52.0,156.0,6⅛,Pyramid,Current,1997,,Handmade,Medium to full strength,unicos,vegas robaina,,,,,,,,
Vegueros,Entretiempos,Petit Edmundo,52.0,110.0,4⅜,Petit Robusto,Current,2013,,Handmade,Full strength - relaunched 2013,entretiempos,vegueros,,,,,,,,
Vegueros,Mañanitas,Mañanitas,46.0,100.0,3⅞,Petit Pyramid,Current,2013,,Handmade,Full strength - relaunched 2013,mañanitas,vegueros,,,,,,,,
Vegueros,Tapados,Mareva Gruesa,46.0,120.0,4¾,Corona Extra,Current,2013,,Handmade,Full strength - relaunched 2013,tapados,vegueros,,,,,,,,
Vegueros,Centrofinos,Centro Fino,50.0,130.0,5⅛,Robusto,Current,2018,,Handmade,Full strength,centrofinos,vegueros,,,,,,,,
Vegueros,Centrogordos,Centro Gordo,54.0,100.0,3⅞,Petit Robusto,Current,2022,,Handmade,Full strength,centrogordos,vegueros,,,,,,,,
Villazon,Regular,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,regular,villazon,,,,,,,,
Villazon,Deluxe,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Discontinued,Pre-1960,1970s,Handmade,,deluxe,villazon,,,,,,,,
Cohiba,Cohiba Lanceros,El Laguito,,,,,,,,,,cohiba lanceros,cohiba,Cohiba Lanceros,,,,https://drive.google.com/drive/folders/1KmbxJV_08D9YnHYvaPRY_z8i8R4-Zmsp?usp=drive_link,25.0,1.0,
Cohiba,Cohiba Esplendidos - Varnished Box,El Laguito,47.0,,,,,,,,,cohiba esplendidos  varnished box,cohiba,Cohiba Esplendidos - Varnished Box - Premium Cuban cigar with authentic flavor profile,17.8,7.0,Robusto,https://drive.google.com/drive/folders/1j5Oh31P5vdoEDKLlwXwZDAquBQFAM7Nw?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Esplendidos,El Laguito,47.0,,,,,,,,,cohiba esplendidos,cohiba,Cohiba Esplendidos - Premium Cuban cigar with authentic flavor profile,17.8,7.0,Robusto,https://drive.google.com/drive/folders/1j5Oh31P5vdoEDKLlwXwZDAquBQFAM7Nw?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Piramides Extra - Varnished Box,El Laguito,54.0,,,,,,,,,cohiba piramides extra  varnished box,cohiba,Cohiba Piramides Extra - Varnished Box - Premium Cuban cigar with authentic flavor profile,16.0,6.3,Torpedo,https://drive.google.com/drive/folders/1haWgpPa1iX-ry5v7VxgJBNb_DuGg5_iv?usp=drive_link,10.0,1.0,Single
Cohiba,Cohiba Coronas Especiales - Varnished Box,El Laguito,38.0,,,,,,,,,cohiba coronas especiales  varnished box,cohiba,Cohiba Coronas Especiales - Varnished Box - Premium Cuban cigar with authentic flavor profile,15.2,6.0,Corona,https://drive.google.com/drive/folders/1YgYq7oP4UMkZR_iy-TteuAMqM8rXDO49?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Panetelas - Varnished Box,El Laguito,26.0,,,,,,,,,cohiba panetelas  varnished box,cohiba,Cohiba Panetelas - Varnished Box - Premium Cuban cigar with authentic flavor profile,11.5,4.5,Panetela,https://drive.google.com/drive/folders/1MOvZYRHUTfthC96vJUVQJNDX0XNP3fsL?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Panetelas 5 sticks,El Laguito,26.0,,,,,,,,,cohiba panetelas 5 sticks,cohiba,Cohiba Panetelas - Premium Cuban cigar with authentic flavor profile,11.5,4.5,Panetela,https://drive.google.com/drive/folders/1MOvZYRHUTfthC96vJUVQJNDX0XNP3fsL?usp=drive_link,5.0,1.0,Single
Cohiba,Cohiba Robustos - Varnished SLB,El Laguito,50.0,,,,,,,,,cohiba robustos  varnished slb,cohiba,Cohiba Robustos - Varnished SLB - Premium Cuban cigar with authentic flavor profile,12.4,4.9,Robusto,https://drive.google.com/drive/folders/1SfkZ8hmEzraOr0h63LVnv1SKAcLGt_97?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Robustos,El Laguito,50.0,,,,,,,,,cohiba robustos,cohiba,Cohiba Robustos - Premium Cuban cigar with authentic flavor profile,12.4,4.9,Robusto,https://drive.google.com/drive/folders/1SfkZ8hmEzraOr0h63LVnv1SKAcLGt_97?usp=drive_link,3.0,1.0,Single
Cohiba,Cohiba Exquisitos - Varnished Box,El Laguito,33.0,,,,,,,,,cohiba exquisitos  varnished box,cohiba,Cohiba Exquisitos - Varnished Box - Premium Cuban cigar with authentic flavor profile,12.5,4.9,Robusto,https://drive.google.com/drive/folders/1j9pIIh69ICymE1DT4DqGylsdR9laWm6n?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Exquisitos,El Laguito,33.0,,,,,,,,,cohiba exquisitos,cohiba,Cohiba Exquisitos - Premium Cuban cigar with authentic flavor profile,12.5,4.9,Robusto,https://drive.google.com/drive/folders/1j9pIIh69ICymE1DT4DqGylsdR9laWm6n?usp=drive_link,5.0,1.0,Single
Cohiba,Cohiba Maduro Genios - Dark Varnished Box,El Laguito,52.0,,,,,,,,,cohiba maduro genios  dark varnished box,cohiba,Cohiba Genios - Dark Varnished Box - Premium Cuban cigar with authentic flavor profile,14.0,5.5,Robusto,https://drive.google.com/drive/folders/1_6hY7s6QtVD69Owrv5l24XK3ORTA8oV_?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Maduro Magicos - Dark Varnished Box,El Laguito,52.0,,,,,,,,,cohiba maduro magicos  dark varnished box,cohiba,Cohiba Magicos - Dark Varnished Box - Premium Cuban cigar with authentic flavor profile,11.5,4.5,Robusto,https://drive.google.com/drive/folders/1oH_HeqysGmP0CP7Cq52WdFAFz9Brsp3Y?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Maduro Secretos - Dark Varnished Box,El Laguito,40.0,,,,,,,,,cohiba maduro secretos  dark varnished box,cohiba,Cohiba Secretos - Dark Varnished Box - Premium Cuban cigar with authentic flavor profile,11.0,4.3,Robusto,https://drive.google.com/drive/folders/1eRFn00SgonP8Jd-cLf0uCLHKvYyz9eKI?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo I - Varnished SLB,El Laguito,40.0,,,,,,,,,cohiba siglo i  varnished slb,cohiba,Cohiba Siglo I - Varnished SLB - Premium Cuban cigar with authentic flavor profile,10.2,4.0,Robusto,https://drive.google.com/drive/folders/1aDCFCnaa1B4-zrMa6YhjGDhDYB2QgZk1?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo I,El Laguito,40.0,,,,,,,,,cohiba siglo i,cohiba,Cohiba Siglo I - Premium Cuban cigar with authentic flavor profile,10.2,4.0,Robusto,https://drive.google.com/drive/folders/1aDCFCnaa1B4-zrMa6YhjGDhDYB2QgZk1?usp=drive_link,5.0,1.0,Single
Cohiba,Cohiba Medio Siglo - Varnished SLB,El Laguito,52.0,,,,,,,,,cohiba medio siglo  varnished slb,cohiba,Cohiba Medio Siglo - Varnished SLB - Premium Cuban cigar with authentic flavor profile,10.2,4.0,Robusto,https://drive.google.com/drive/folders/1_co-S1l9JqloZYftkAbY-mG0h0WJCJIO?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo II - Varnished SLB,El Laguito,42.0,,,,,,,,,cohiba siglo ii  varnished slb,cohiba,Cohiba Siglo II - Varnished SLB - Premium Cuban cigar with authentic flavor profile,12.9,5.1,Robusto,https://drive.google.com/drive/folders/1rjUFK3JoU4atC8RwAuN1kft7Xfl0dotV?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo II,El Laguito,42.0,,,,,,,,,cohiba siglo ii,cohiba,Cohiba Siglo II - Premium Cuban cigar with authentic flavor profile,12.9,5.1,Robusto,https://drive.google.com/drive/folders/1rjUFK3JoU4atC8RwAuN1kft7Xfl0dotV?usp=drive_link,5.0,1.0,Single
Cohiba,Cohiba Siglo III - Varnished SLB,El Laguito,42.0,,,,,,,,,cohiba siglo iii  varnished slb,cohiba,Cohiba Siglo III - Varnished SLB - Premium Cuban cigar with authentic flavor profile,15.5,6.1,Robusto,https://drive.google.com/drive/folders/1fMfYudum2y8mdPbvACT6fJwgTudwkDui?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo III,El Laguito,42.0,,,,,,,,,cohiba siglo iii,cohiba,Cohiba Siglo III - Premium Cuban cigar with authentic flavor profile,15.5,6.1,Robusto,https://drive.google.com/drive/folders/1fMfYudum2y8mdPbvACT6fJwgTudwkDui?usp=drive_link,5.0,1.0,Single
Cohiba,Cohiba Siglo IV - Varnished SLB,El Laguito,46.0,,,,,,,,,cohiba siglo iv  varnished slb,cohiba,Cohiba Siglo IV - Varnished SLB - Premium Cuban cigar with authentic flavor profile,14.3,5.6,Robusto,https://drive.google.com/drive/folders/1_TB5ewPjKtjtm-Obth0M_cJD5L4fAjxb?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo IV,El Laguito,46.0,,,,,,,,,cohiba siglo iv,cohiba,Cohiba Siglo IV - Premium Cuban cigar with authentic flavor profile,14.3,5.6,Robusto,https://drive.google.com/drive/folders/1_TB5ewPjKtjtm-Obth0M_cJD5L4fAjxb?usp=drive_link,5.0,1.0,Single
Cohiba,Cohiba Siglo V - Varnished SLB,El Laguito,43.0,,,,,,,,,cohiba siglo v  varnished slb,cohiba,Cohiba Siglo V - Varnished SLB - Premium Cuban cigar with authentic flavor profile,17.0,6.7,Robusto,https://drive.google.com/drive/folders/1YEG50jYJwuV-mT6Jusy-okRbybfcfCJT?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo VI - Varnished SLB,El Laguito,52.0,,,,,,,,,cohiba siglo vi  varnished slb,cohiba,Cohiba Siglo VI - Varnished SLB - Premium Cuban cigar with authentic flavor profile,15.0,5.9,Robusto,https://drive.google.com/drive/folders/13EE7MEh8E9K_4WDBT4sIAmuwL0ECKhsD?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba BHK 56,El Laguito,56.0,,,,,,,,,cohiba bhk 56,cohiba,Cohiba BHK 56 - Premium Cuban cigar with authentic flavor profile,16.6,6.5,Robusto,https://drive.google.com/drive/folders/16W3nECE9josuibiOwmZGbRE2jOXuwGgA?usp=drive_link,10.0,1.0,Single
Cohiba,Cohiba BHK 54,El Laguito,54.0,,,,,,,,,cohiba bhk 54,cohiba,Cohiba BHK 54 - Premium Cuban cigar with authentic flavor profile,14.4,5.7,Robusto,https://drive.google.com/drive/folders/1qHtCg9M9fY6c7XaFiK9oFP5IdNNIyXdi?usp=drive_link,10.0,1.0,Single
Cohiba,Cohiba BHK 52,El Laguito,52.0,,,,,,,,,cohiba bhk 52,cohiba,Cohiba BHK 52 - Premium Cuban cigar with authentic flavor profile,11.9,4.7,Robusto,https://drive.google.com/drive/folders/10ZZtO5zSxdxgFLSh6u9PNhYea_Xji9ep?usp=drive_link,10.0,1.0,Single
Cohiba,Cohiba Medio Siglo,El Laguito,52.0,,,,,,,,,cohiba medio siglo,cohiba,Cohiba Medio Siglo - Premium Cuban cigar with authentic flavor profile,10.2,4.0,Robusto,https://drive.google.com/drive/folders/1_co-S1l9JqloZYftkAbY-mG0h0WJCJIO?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo V,El Laguito,43.0,,,,,,,,,cohiba siglo v,cohiba,Cohiba Siglo V - Premium Cuban cigar with authentic flavor profile,17.0,6.7,Robusto,https://drive.google.com/drive/folders/1YEG50jYJwuV-mT6Jusy-okRbybfcfCJT?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Siglo VI,El Laguito,52.0,,,,,,,,,cohiba siglo vi,cohiba,Cohiba Siglo VI - Premium Cuban cigar with authentic flavor profile,15.0,5.9,Robusto,https://drive.google.com/drive/folders/13EE7MEh8E9K_4WDBT4sIAmuwL0ECKhsD?usp=drive_link,25.0,1.0,Single
Cohiba,Cohiba Piramides Extra,El Laguito,54.0,,,,,,,,,cohiba piramides extra,cohiba,Cohiba Piramides Extra - Premium Cuban cigar with authentic flavor profile,16.0,6.3,Torpedo,https://drive.google.com/drive/folders/1haWgpPa1iX-ry5v7VxgJBNb_DuGg5_iv?usp=drive_link,10.0,1.0,Single
Cohiba,Cohiba Siglo de Oro,El Laguito,,,,,,,,,,cohiba siglo de oro,cohiba,Cohiba Siglo de Oro,,,,https://drive.google.com/drive/folders/11bJJuY1PQrT6dO82vGomnRGZ1PZzgVJH?usp=drive_link,18.0,1.0,
Ramon Allones,Allones No. 3,,,,,,,,,,,allones no. 3,ramon allones,Allones No. 3,,,,https://drive.google.com/drive/folders/1BNCEgLXioGlvHWv4zZMOGpNtzrb2kFBv?usp=drive_link,10.0,,
Montecristo,Montecristo 'A' - Single SLB,Briones Montoto,47.0,,,,,,,,,montecristo 'a'  single slb,montecristo,Montecristo 'A' - Single SLB - Premium Cuban cigar with authentic flavor profile,23.5,9.3,Robusto,https://drive.google.com/drive/folders/1bU4QiIoi_piZmcDvlN07nKIl5cMLlhPO?usp=drive_link,5.0,1.0,Single
Montecristo,Montecristo Double Edmundo - SBN,Briones Montoto,50.0,,,,,,,,,montecristo double edmundo  sbn,montecristo,Montecristo Double Edmundo - SBN - Premium Cuban cigar with authentic flavor profile,15.5,6.1,Robusto,https://drive.google.com/drive/folders/1IhKBF8NGmVLWV9iS5EpvWE0gsglNncfR?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Double Edmundo,Briones Montoto,50.0,,,,,,,,,montecristo double edmundo,montecristo,Montecristo Double Edmundo - Premium Cuban cigar with authentic flavor profile,15.5,6.1,Robusto,https://drive.google.com/drive/folders/1IhKBF8NGmVLWV9iS5EpvWE0gsglNncfR?usp=drive_link,10.0,1.0,Single
Montecristo,Montecristo Edmundo - SBN,Briones Montoto,52.0,,,,,,,,,montecristo edmundo  sbn,montecristo,Montecristo Edmundo - SBN - Premium Cuban cigar with authentic flavor profile,13.5,5.3,Robusto,https://drive.google.com/drive/folders/1pzwaGGfUJoZC_J_72uGwfcp1g3gBhKgT?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Edmundo,Briones Montoto,52.0,,,,,,,,,montecristo edmundo,montecristo,Montecristo Edmundo - Premium Cuban cigar with authentic flavor profile,13.5,5.3,Robusto,https://drive.google.com/drive/folders/1pzwaGGfUJoZC_J_72uGwfcp1g3gBhKgT?usp=drive_link,3.0,1.0,Single
Montecristo,Montecristo Wide Edmundo - SBN,Briones Montoto,54.0,,,,,,,,,montecristo wide edmundo  sbn,montecristo,Montecristo Wide Edmundo - SBN - Premium Cuban cigar with authentic flavor profile,12.5,4.9,Robusto,https://drive.google.com/drive/folders/1PMDAd3jyHodGv82J-l5F10Ylg4iUKAbc?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Petit Edmundo - SBN,Briones Montoto,52.0,,,,,,,,,montecristo petit edmundo  sbn,montecristo,Montecristo Petit Edmundo - SBN - Premium Cuban cigar with authentic flavor profile,11.0,4.3,Robusto,https://drive.google.com/drive/folders/1YpqLWF7jWSRFT7-iTxoIrOuFw5EzrCp6?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Especial - SBN,Briones Montoto,38.0,,,,,,,,,montecristo especial  sbn,montecristo,Montecristo Especial - SBN - Premium Cuban cigar with authentic flavor profile,19.2,7.6,Robusto,https://drive.google.com/drive/folders/1BGWm3fRhjNT2M08zIO7uJHofgHyR7QyE?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Especial No. 2 - SBN,Briones Montoto,38.0,,,,,,,,,montecristo especial no. 2  sbn,montecristo,Montecristo Especial No. 2 - SBN - Premium Cuban cigar with authentic flavor profile,15.2,6.0,Robusto,https://drive.google.com/drive/folders/16YwU35XQouUeFDxHfh9SCvsuxMpvF1zO?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Joyitas - SBN,Briones Montoto,26.0,,,,,,,,,montecristo joyitas  sbn,montecristo,Montecristo Joyitas - SBN - Premium Cuban cigar with authentic flavor profile,11.5,4.5,Robusto,https://drive.google.com/drive/folders/1sNQt4f3zAPntMtaALRZ-rs5MANrhy5Ih?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo No.1,Briones Montoto,42.0,,,,,,,,,montecristo no.1,montecristo,Montecristo No.1 - Premium Cuban cigar with authentic flavor profile,16.5,6.5,Robusto,https://drive.google.com/drive/folders/1vjTn6zBq2ZP8vrDvulNNcsZ9TcN1wQ74?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo No.2,Briones Montoto,52.0,,,,,,,,,montecristo no.2,montecristo,Montecristo No.2 - Premium Cuban cigar with authentic flavor profile,15.6,6.1,Robusto,https://drive.google.com/drive/folders/18_bFUDVkK3KKu-UyolfAtrXaJaqU9hyN?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Petit No.2,Briones Montoto,52.0,,,,,,,,,montecristo petit no.2,montecristo,Montecristo Petit No.2 - Premium Cuban cigar with authentic flavor profile,12.0,4.7,Robusto,https://drive.google.com/drive/folders/1aFPELuM_TNas3EkfkRQDY2A13_qFB-m5?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo No.3,Briones Montoto,42.0,,,,,,,,,montecristo no.3,montecristo,Montecristo No.3 - Premium Cuban cigar with authentic flavor profile,14.2,5.6,Robusto,https://drive.google.com/drive/folders/1HcrruFnpO8xjyW82g67uNb-sIds_eFTn?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo No.4,Briones Montoto,42.0,,,,,,,,,montecristo no.4,montecristo,Montecristo No.4 - Premium Cuban cigar with authentic flavor profile,12.9,5.1,Robusto,https://drive.google.com/drive/folders/1-_LISdGsOtVG-q1x-6NxZO_-2-tl8d8G?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo No.5,Briones Montoto,40.0,,,,,,,,,montecristo no.5,montecristo,Montecristo No.5 - Premium Cuban cigar with authentic flavor profile,10.2,4.0,Robusto,https://drive.google.com/drive/folders/1CT9HnmQ4_4b6Wy3xVYKIJYXuXz_dKzq8?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Media Corona,Briones Montoto,44.0,,,,,,,,,montecristo media corona,montecristo,Montecristo Media Corona - Premium Cuban cigar with authentic flavor profile,9.0,3.5,Corona,https://drive.google.com/drive/folders/1pkGH19_Xycg_pwuC9CRf7Kj_pyVwPLGj?usp=drive_link,25.0,1.0,Single
Montecristo,Montecristo Media Corona - Tins,Briones Montoto,44.0,,,,,,,,,montecristo media corona  tins,montecristo,Montecristo Media Corona - Tins - Premium Cuban cigar with authentic flavor profile,9.0,3.5,Corona,https://drive.google.com/drive/folders/1pkGH19_Xycg_pwuC9CRf7Kj_pyVwPLGj?usp=drive_link,5.0,1.0,Single
Montecristo,Montecristo LINEA 1935 - Leyenda,Briones Montoto,55.0,,,,,,,,,montecristo linea 1935  leyenda,montecristo,Montecristo LINEA 1935 - Leyenda - Premium Cuban cigar with authentic flavor profile,16.5,6.5,Robusto,https://drive.google.com/drive/folders/1WjPRY6vshecgHECWBvxuSrnQsHEOJd8M?usp=drive_link,20.0,1.0,Single
